, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.31,0.05,0.45,0.0,0.0,0.0,0.0,0.19,0.21,0.27,0.0,0.15,0.0,0.0,0.09,0.58,0.0
12,0.66,0.1,1.04,0.0,0.0,0.0,0.0,0.44,0.45,0.71,0.01,0.38,0.0,0.0,0.17,1.12,0.0
13,1.04,0.19,1.49,0.0,0.0,0.0,0.0,0.63,0.73,1.06,0.01,0.73,0.0,0.0,0.17,1.77,0.0
14,1.08,0.36,1.46,0.0,0.0,0.0,0.0,0.65,0.82,1.21,0.01,0.95,0.0,0.0,0.08,1.8,0.0
15,1.24,0.67,1.33,0.0,0.0,0.0,0.0,0.63,0.9,1.26,0.0,0.94,0.0,0.0,0.09,1.8,0.0
16,1.27,0.72,1.25,0.0,0.0,0.0,0.0,0.68,0.87,1.2,0.0,0.96,0.0,0.0,0.23,1.72,0.0
17,1.33,0.62,1.21,0.0,0.0,0.0,0.0,0.7,0.82,1.08,0.0,0.91,0.0,0.0,0.42,1.65,0.0
18,1.29,0.39,1.15,0.0,0.0,0.0,0.0,0.69,0.74,1.01,0.01,1.15,0.17,0.01,0.53,1.84,0.0
19,1.4,0.54,1.06,0.0,0.0,0.0,0.0,0.66,0.64,1.01,0.01,1.25,0.29,0.03,0.73,2.0,0.0
20,1.52,0.78,0.98,0.0,0.0,0.0,0.0,0.62,0.55,1.04,0.01,1.38,0.36,0.03,0.82,2.16,0.0
21,1.59,0.79,0.87,0.0,0.0,0.0,0.0,0.67,0.5,0.88,0.0,1.49,0.33,0.02,0.85,2.2,0.15
22,1.6,0.65,0.93,0.0,0.0,0.0,0.0,0.67,0.53,0.82,0.0,1.59,0.32,0.0,0.74,2.28,0.22
23,1.64,0.34,0.98,0.0,0.0,0.0,0.0,0.73,0.56,0.7,0.0,1.71,0.25,0.0,0.58,2.35,0.24
24,1.62,0.21,1.02,0.0,0.0,0.0,0.0,0.7,0.56,0.71,0.0,1.71,0.24,0.0,0.44,2.24,0.14
25,1.57,0.05,0.95,0.0,0.0,0.0,0.0,0.7,0.57,0.68,0.0,1.71,0.19,0.0,0.36,2.12,0.11
26,1.52,0.09,0.83,0.0,0.0,0.0,0.0,0.62,0.52,0.75,0.0,1.7,0.21,0.02,0.39,2.05,0.09
27,1.53,0.28,0.66,0.0,0.0,0.0,0.0,0.61,0.43,0.81,0.0,1.7,0.16,0.1,0.37,2.07,0.04
