, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.37,0.18,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.07,0.1,0.31,0.0,0.0,0.0,0.21,0.0
12,0.86,0.5,0.09,0.0,0.0,0.88,0.0,0.0,0.0,0.23,0.17,0.69,0.0,0.0,0.0,0.47,0.0
13,1.32,0.8,0.22,0.0,0.0,1.32,0.0,0.0,0.0,0.43,0.25,1.08,0.0,0.0,0.0,0.79,0.0
14,1.45,0.99,0.33,0.0,0.0,1.38,0.0,0.0,0.0,0.55,0.21,1.18,0.0,0.0,0.0,0.92,0.0
15,1.45,1.0,0.36,0.0,0.0,1.41,0.0,0.0,0.0,0.55,0.19,1.19,0.0,0.0,0.0,0.99,0.0
16,1.43,1.1,0.41,0.0,0.0,1.42,0.0,0.0,0.0,0.56,0.21,1.23,0.0,0.0,0.0,0.94,0.0
17,1.42,1.21,0.46,0.0,0.0,1.31,0.0,0.0,0.0,0.57,0.28,1.24,0.0,0.0,0.0,0.89,0.0
18,1.45,1.28,0.52,0.0,0.0,1.26,0.0,0.0,0.0,0.56,0.34,1.25,0.0,0.0,0.0,0.91,0.0
19,1.48,1.21,0.46,0.0,0.0,1.2,0.0,0.0,0.0,0.52,0.34,1.23,0.0,0.0,0.0,0.92,0.0
20,1.5,1.13,0.41,0.0,0.0,1.23,0.0,0.0,0.0,0.48,0.3,1.21,0.0,0.0,0.0,0.89,0.0
21,1.45,1.22,0.36,0.0,0.0,1.3,0.0,0.0,0.0,0.51,0.27,1.18,0.0,0.0,0.0,0.86,0.0
22,1.47,1.27,0.35,0.0,0.0,1.38,0.0,0.0,0.0,0.52,0.33,1.17,0.0,0.0,0.0,0.93,0.0
23,1.45,1.19,0.31,0.0,0.0,1.34,0.0,0.0,0.0,0.52,0.36,1.19,0.0,0.0,0.0,0.92,0.0
24,1.4,1.07,0.28,0.0,0.0,1.36,0.0,0.0,0.0,0.49,0.41,1.25,0.0,0.0,0.0,0.86,0.0
25,1.33,1.12,0.27,0.0,0.0,1.4,0.0,0.0,0.0,0.51,0.34,1.28,0.0,0.0,0.0,0.75,0.0
26,1.28,1.17,0.31,0.0,0.0,1.59,0.0,0.0,0.0,0.56,0.36,1.27,0.0,0.0,0.0,0.74,0.0
27,1.33,1.16,0.3,0.0,0.0,1.72,0.0,0.0,0.0,0.58,0.38,1.27,0.0,0.0,0.0,0.74,0.0
