, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.87,0.0,0.0,1.29,0.0,0.0,0.0,0.04,0.0,0.33,0.0,0.04,0.0,0.06,0.0
12,0.0,0.0,1.7,0.0,0.0,2.51,0.0,0.0,0.01,0.19,0.0,0.71,0.0,0.04,0.0,0.1,0.0
13,0.13,0.0,2.49,0.0,0.0,3.69,0.0,0.0,0.04,0.3,0.0,1.04,0.0,0.04,0.0,0.15,0.0
14,0.32,0.0,2.45,0.0,0.0,3.44,0.0,0.0,0.07,0.37,0.0,1.1,0.03,0.0,0.0,0.15,0.0
15,0.5,0.01,2.45,0.0,0.0,3.38,0.0,0.0,0.11,0.34,0.0,1.08,0.1,0.0,0.0,0.16,0.0
16,0.55,0.01,2.45,0.0,0.0,3.37,0.0,0.0,0.13,0.37,0.0,1.06,0.18,0.0,0.0,0.18,0.0
17,0.58,0.01,2.46,0.0,0.0,3.51,0.0,0.0,0.15,0.39,0.0,0.96,0.22,0.0,0.0,0.18,0.0
18,0.59,0.01,2.46,0.0,0.0,3.45,0.0,0.0,0.16,0.35,0.0,0.94,0.22,0.0,0.0,0.13,0.0
19,0.45,0.01,2.47,0.0,0.0,3.4,0.0,0.0,0.15,0.38,0.0,0.94,0.21,0.0,0.0,0.11,0.0
20,0.32,0.01,2.47,0.0,0.0,3.44,0.0,0.0,0.14,0.37,0.0,0.97,0.23,0.0,0.0,0.04,0.0
21,0.3,0.0,2.51,0.0,0.0,3.55,0.0,0.0,0.15,0.42,0.0,0.95,0.27,0.0,0.0,0.04,0.0
22,0.47,0.07,2.63,0.0,0.0,3.52,0.0,0.0,0.15,0.4,0.0,0.95,0.24,0.0,0.0,0.02,0.0
23,0.52,0.07,2.67,0.0,0.0,3.45,0.0,0.0,0.13,0.43,0.0,0.93,0.16,0.0,0.0,0.05,0.0
24,0.45,0.07,2.64,0.0,0.0,3.29,0.0,0.0,0.11,0.4,0.0,0.93,0.08,0.0,0.0,0.06,0.0
25,0.46,0.0,2.52,0.0,0.0,3.2,0.0,0.0,0.1,0.39,0.0,0.89,0.08,0.0,0.0,0.03,0.0
26,0.34,0.0,2.38,0.0,0.0,3.12,0.0,0.0,0.09,0.36,0.0,0.89,0.08,0.0,0.0,0.01,0.0
27,0.26,0.0,2.4,0.0,0.0,3.2,0.0,0.0,0.07,0.36,0.0,0.83,0.05,0.0,0.0,0.01,0.0
