, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.29,0.09,0.1,0.0,0.0,0.12,0.0,0.05,0.0,0.0,0.07,0.13,0.0,0.14,0.0,0.09,0.0
12,0.6,0.19,0.19,0.0,0.0,0.22,0.0,0.11,0.0,0.0,0.15,0.29,0.0,0.29,0.0,0.18,0.0
13,0.89,0.3,0.27,0.0,0.0,0.32,0.0,0.19,0.0,0.0,0.26,0.46,0.0,0.45,0.0,0.27,0.0
14,0.87,0.29,0.23,0.0,0.0,0.39,0.0,0.23,0.0,0.0,0.37,0.51,0.0,0.46,0.0,0.3,0.0
15,0.86,0.26,0.15,0.0,0.0,0.51,0.0,0.25,0.0,0.0,0.43,0.59,0.0,0.48,0.0,0.31,0.0
16,0.88,0.3,0.15,0.0,0.0,0.53,0.0,0.24,0.0,0.0,0.44,0.63,0.0,0.49,0.0,0.37,0.0
17,0.88,0.37,0.14,0.0,0.0,0.45,0.0,0.21,0.0,0.0,0.4,0.66,0.0,0.49,0.0,0.35,0.0
18,0.9,0.52,0.19,0.0,0.0,0.46,0.0,0.2,0.0,0.0,0.38,0.61,0.0,0.47,0.0,0.35,0.0
19,0.87,0.48,0.19,0.0,0.0,0.61,0.0,0.21,0.0,0.0,0.41,0.64,0.0,0.45,0.0,0.33,0.0
20,0.92,0.42,0.24,0.0,0.0,0.77,0.0,0.25,0.0,0.0,0.41,0.65,0.0,0.44,0.0,0.34,0.0
21,0.93,0.31,0.25,0.0,0.0,0.85,0.0,0.22,0.0,0.0,0.44,0.67,0.0,0.44,0.0,0.38,0.0
22,0.94,0.29,0.18,0.0,0.0,0.72,0.0,0.16,0.0,0.0,0.48,0.63,0.0,0.43,0.0,0.35,0.0
23,0.91,0.28,0.16,0.0,0.0,0.56,0.0,0.13,0.0,0.0,0.51,0.61,0.0,0.41,0.0,0.36,0.0
24,0.91,0.17,0.34,0.0,0.0,0.4,0.0,0.17,0.0,0.0,0.48,0.68,0.03,0.29,0.0,0.33,0.08
25,0.91,0.07,0.56,0.0,0.0,0.52,0.0,0.25,0.0,0.0,0.45,0.75,0.03,0.2,0.0,0.4,0.16
26,0.91,0.0,0.74,0.0,0.0,0.62,0.0,0.28,0.0,0.0,0.43,0.78,0.03,0.11,0.0,0.41,0.21
27,0.88,0.1,0.62,0.0,0.0,0.81,0.0,0.28,0.0,0.0,0.47,0.71,0.0,0.17,0.0,0.32,0.13
