, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.07,0.29,0.0,0.0,0.0,0.17,0.08,0.49,0.0,0.68,0.0,0.36,0.2,0.28,0.0
12,0.04,0.12,0.17,0.67,0.0,0.0,0.0,0.39,0.16,1.07,0.0,1.44,0.0,0.6,0.26,0.53,0.0
13,0.18,0.14,0.26,0.76,0.0,0.0,0.0,0.59,0.32,1.67,0.0,2.26,0.0,0.83,0.26,0.8,0.0
14,0.46,0.14,0.21,0.53,0.0,0.0,0.05,0.76,0.4,1.74,0.0,2.41,0.0,0.67,0.06,0.56,0.37
15,0.73,0.03,0.11,0.23,0.0,0.0,0.08,0.89,0.48,1.77,0.0,2.47,0.0,0.51,0.0,0.3,0.59
16,0.83,0.0,0.09,0.27,0.0,0.0,0.13,1.01,0.47,1.72,0.0,2.46,0.0,0.42,0.0,0.03,0.78
17,0.71,0.04,0.2,0.34,0.0,0.0,0.15,1.04,0.51,1.83,0.1,2.4,0.0,0.37,0.0,0.05,0.61
18,0.57,0.09,0.4,0.3,0.0,0.0,0.2,1.07,0.54,1.89,0.12,2.29,0.0,0.47,0.0,0.05,0.53
19,0.36,0.09,0.51,0.3,0.0,0.0,0.28,1.1,0.56,2.01,0.12,2.23,0.0,0.55,0.0,0.05,0.51
20,0.2,0.05,0.53,0.23,0.0,0.0,0.37,1.13,0.52,2.07,0.04,2.17,0.0,0.66,0.0,0.0,0.54
21,0.04,0.0,0.47,0.19,0.0,0.0,0.39,1.12,0.5,2.01,0.07,2.23,0.0,0.73,0.0,0.01,0.58
22,0.01,0.02,0.45,0.14,0.0,0.0,0.47,1.08,0.54,2.02,0.07,2.21,0.0,0.81,0.0,0.08,0.55
23,0.05,0.02,0.45,0.09,0.0,0.0,0.45,0.98,0.58,1.91,0.07,2.23,0.0,0.83,0.0,0.18,0.48
24,0.08,0.11,0.43,0.24,0.0,0.0,0.49,0.87,0.58,1.79,0.06,2.14,0.0,0.87,0.0,0.23,0.4
25,0.14,0.09,0.45,0.17,0.0,0.0,0.46,0.83,0.56,1.68,0.15,2.17,0.0,0.86,0.0,0.35,0.31
26,0.21,0.13,0.53,0.23,0.0,0.0,0.46,0.76,0.54,1.5,0.26,2.21,0.0,0.88,0.0,0.38,0.19
27,0.31,0.14,0.65,0.09,0.0,0.0,0.35,0.7,0.51,1.52,0.46,2.29,0.0,0.91,0.0,0.45,0.19
