, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.14,0.0,0.27,0.0,0.0,0.44,0.56,0.62,0.05,0.5,0.16,0.49,0.0,0.12,0.18
12,0.0,0.04,0.31,0.0,0.51,0.0,0.0,0.95,1.14,1.31,0.14,1.07,0.33,0.99,0.0,0.12,0.27
13,0.09,0.32,0.42,0.0,0.71,0.0,0.0,1.45,1.72,2.2,0.14,1.66,0.36,1.52,0.0,0.12,0.34
14,0.14,0.52,0.45,0.15,0.67,0.0,0.0,1.47,1.75,2.35,0.1,1.77,0.27,1.59,0.0,0.0,0.2
15,0.26,0.78,0.4,0.26,0.7,0.0,0.0,1.49,1.76,2.52,0.01,1.82,0.21,1.64,0.0,0.0,0.2
16,0.27,0.76,0.45,0.26,0.79,0.0,0.0,1.51,1.74,2.56,0.02,1.81,0.28,1.7,0.0,0.0,0.12
17,0.3,0.67,0.42,0.11,0.84,0.0,0.0,1.62,1.77,2.64,0.01,1.84,0.34,1.77,0.0,0.0,0.09
18,0.25,0.42,0.49,0.17,0.85,0.05,0.0,1.67,1.8,2.56,0.01,1.9,0.43,1.88,0.0,0.0,0.0
19,0.27,0.34,0.51,0.36,0.79,0.05,0.0,1.72,1.82,2.42,0.0,1.92,0.54,1.92,0.0,0.0,0.0
20,0.25,0.36,0.55,0.51,0.74,0.05,0.0,1.72,1.81,2.36,0.0,1.83,0.63,1.93,0.0,0.0,0.0
21,0.26,0.49,0.55,0.52,0.66,0.0,0.0,1.71,1.78,2.4,0.0,1.73,0.67,1.93,0.0,0.0,0.0
22,0.25,0.49,0.52,0.49,0.64,0.0,0.0,1.72,1.77,2.44,0.03,1.76,0.7,1.96,0.0,0.0,0.0
23,0.27,0.56,0.5,0.38,0.63,0.0,0.0,1.74,1.73,2.46,0.13,1.95,0.71,2.03,0.0,0.0,0.0
24,0.21,0.57,0.49,0.27,0.63,0.0,0.0,1.84,1.71,2.46,0.3,2.01,0.66,2.11,0.0,0.0,0.0
25,0.17,0.56,0.5,0.2,0.62,0.0,0.0,1.96,1.74,2.53,0.39,1.96,0.66,2.18,0.0,0.0,0.0
26,0.13,0.42,0.46,0.28,0.65,0.0,0.0,2.07,1.82,2.66,0.41,1.86,0.7,2.19,0.0,0.0,0.0
27,0.2,0.33,0.44,0.35,0.67,0.0,0.0,2.09,1.91,2.77,0.35,1.85,0.78,2.18,0.0,0.0,0.0
