, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4,0.23,0.1,0.0,0.07,0.43,0.0,0.02,0.07,0.0,0.07,0.52,0.0,0.0,0.0,0.0,0.08
12,0.86,0.54,0.19,0.0,0.14,0.82,0.0,0.08,0.13,0.0,0.07,1.09,0.04,0.0,0.0,0.0,0.17
13,1.31,0.89,0.22,0.0,0.23,1.24,0.0,0.09,0.2,0.0,0.09,1.62,0.12,0.0,0.0,0.0,0.17
14,1.31,0.93,0.12,0.0,0.27,1.2,0.0,0.07,0.19,0.0,0.02,1.69,0.12,0.0,0.0,0.04,0.09
15,1.22,1.01,0.03,0.0,0.33,1.27,0.0,0.02,0.18,0.0,0.07,1.69,0.11,0.0,0.0,0.04,0.0
16,1.13,1.05,0.0,0.0,0.36,1.25,0.0,0.0,0.15,0.0,0.08,1.78,0.04,0.01,0.0,0.09,0.0
17,1.17,1.18,0.0,0.0,0.38,1.31,0.0,0.0,0.15,0.0,0.13,1.76,0.05,0.01,0.0,0.05,0.0
18,1.21,1.15,0.0,0.0,0.4,1.34,0.0,0.0,0.16,0.0,0.12,1.83,0.01,0.01,0.0,0.06,0.0
19,1.28,1.13,0.0,0.0,0.42,1.44,0.0,0.05,0.18,0.0,0.1,1.86,0.01,0.0,0.0,0.02,0.0
20,1.26,1.11,0.0,0.0,0.43,1.34,0.0,0.07,0.21,0.0,0.12,1.89,0.07,0.0,0.0,0.02,0.0
21,1.28,1.15,0.0,0.0,0.4,1.27,0.0,0.09,0.24,0.0,0.22,1.87,0.12,0.0,0.0,0.01,0.0
22,1.3,1.2,0.0,0.0,0.39,1.21,0.0,0.05,0.26,0.0,0.3,1.78,0.16,0.01,0.0,0.0,0.0
23,1.31,1.25,0.0,0.0,0.35,1.17,0.0,0.08,0.27,0.0,0.25,1.66,0.08,0.02,0.0,0.0,0.0
24,1.34,1.31,0.0,0.0,0.33,1.1,0.0,0.12,0.28,0.0,0.14,1.57,0.04,0.02,0.0,0.0,0.0
25,1.4,1.23,0.04,0.0,0.26,0.86,0.0,0.17,0.3,0.0,0.1,1.55,0.01,0.01,0.0,0.0,0.0
26,1.46,1.04,0.05,0.09,0.19,0.7,0.0,0.11,0.31,0.0,0.07,1.55,0.08,0.0,0.0,0.0,0.07
27,1.6,0.81,0.11,0.09,0.14,0.73,0.0,0.06,0.3,0.0,0.04,1.55,0.15,0.0,0.0,0.0,0.38
