, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.38,0.54,0.0,0.0,0.33,0.01,0.0,0.14,0.0,0.0,0.12,0.0,0.02
12,0.02,0.0,0.0,0.0,0.77,0.98,0.0,0.0,0.68,0.07,0.0,0.39,0.04,0.0,0.27,0.0,0.02
13,0.05,0.0,0.0,0.0,1.14,1.48,0.0,0.04,1.02,0.08,0.0,0.64,0.14,0.0,0.4,0.0,0.02
14,0.1,0.0,0.0,0.0,1.15,1.38,0.0,0.04,1.04,0.12,0.0,0.7,0.17,0.0,0.45,0.0,0.03
15,0.15,0.0,0.0,0.0,1.13,1.41,0.0,0.09,1.05,0.09,0.0,0.72,0.19,0.0,0.45,0.0,0.03
16,0.18,0.0,0.0,0.0,1.1,1.33,0.0,0.05,1.08,0.08,0.0,0.69,0.12,0.0,0.43,0.0,0.03
17,0.21,0.0,0.0,0.0,1.12,1.28,0.0,0.07,1.1,0.04,0.0,0.73,0.16,0.0,0.3,0.02,0.02
18,0.18,0.0,0.0,0.0,1.12,1.23,0.0,0.12,1.1,0.02,0.0,0.67,0.26,0.03,0.21,0.02,0.02
19,0.18,0.0,0.0,0.0,1.18,1.22,0.0,0.21,1.09,0.02,0.0,0.68,0.31,0.1,0.22,0.02,0.02
20,0.18,0.0,0.0,0.0,1.13,1.15,0.0,0.25,1.07,0.06,0.0,0.64,0.34,0.1,0.35,0.07,0.05
21,0.21,0.0,0.0,0.0,1.12,1.08,0.0,0.28,1.12,0.09,0.0,0.63,0.32,0.13,0.42,0.08,0.05
22,0.27,0.0,0.0,0.0,1.1,0.94,0.0,0.26,1.11,0.11,0.0,0.62,0.29,0.08,0.49,0.12,0.08
23,0.28,0.0,0.0,0.0,1.1,0.99,0.0,0.26,1.14,0.05,0.0,0.61,0.35,0.16,0.48,0.06,0.03
24,0.28,0.0,0.0,0.0,1.1,0.94,0.0,0.21,1.1,0.04,0.0,0.6,0.29,0.1,0.42,0.11,0.03
25,0.25,0.0,0.0,0.0,1.08,1.07,0.0,0.21,1.11,0.02,0.0,0.55,0.34,0.13,0.31,0.08,0.0
26,0.21,0.0,0.0,0.0,1.07,1.04,0.0,0.22,1.09,0.03,0.0,0.49,0.28,0.06,0.26,0.12,0.03
27,0.16,0.0,0.0,0.0,1.09,1.14,0.0,0.21,1.09,0.02,0.0,0.48,0.25,0.1,0.33,0.11,0.03
