, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.33,0.0,0.26,0.0,0.0,0.0,0.0,0.11,0.01,0.0,0.0,0.09,0.0,0.0,0.15,0.13,0.27
12,0.9,0.09,0.76,0.0,0.12,0.24,0.0,0.29,0.04,0.03,0.0,0.29,0.0,0.0,0.33,0.3,0.39
13,1.45,0.25,1.35,0.0,0.25,0.41,0.0,0.54,0.07,0.14,0.0,0.49,0.0,0.0,0.43,0.47,0.39
14,1.61,0.43,1.6,0.08,0.42,0.76,0.0,0.64,0.11,0.22,0.0,0.57,0.0,0.0,0.43,0.58,0.11
15,1.43,0.49,1.7,0.08,0.48,0.91,0.0,0.68,0.11,0.22,0.0,0.52,0.0,0.0,0.44,0.62,0.0
16,1.22,0.42,1.72,0.08,0.49,1.19,0.0,0.58,0.12,0.2,0.0,0.47,0.0,0.0,0.49,0.63,0.0
17,0.98,0.34,1.73,0.0,0.4,1.16,0.0,0.59,0.16,0.27,0.0,0.48,0.0,0.0,0.56,0.69,0.0
18,0.81,0.36,1.78,0.0,0.33,1.15,0.0,0.54,0.16,0.35,0.0,0.49,0.0,0.0,0.59,0.84,0.0
19,0.7,0.28,1.76,0.0,0.31,0.96,0.0,0.6,0.19,0.37,0.0,0.51,0.0,0.0,0.63,0.91,0.0
20,0.63,0.19,1.68,0.0,0.33,1.06,0.0,0.45,0.18,0.35,0.0,0.47,0.0,0.0,0.6,0.87,0.0
21,0.64,0.12,1.57,0.0,0.28,1.13,0.0,0.4,0.2,0.35,0.0,0.5,0.0,0.0,0.55,0.74,0.0
22,0.67,0.24,1.58,0.0,0.2,1.41,0.0,0.31,0.18,0.38,0.0,0.46,0.0,0.0,0.51,0.75,0.0
23,0.69,0.3,1.7,0.09,0.19,1.23,0.0,0.35,0.16,0.34,0.0,0.49,0.0,0.0,0.48,0.78,0.0
24,0.7,0.31,1.75,0.15,0.2,1.08,0.0,0.35,0.15,0.29,0.0,0.45,0.0,0.0,0.43,0.87,0.0
25,0.7,0.25,1.69,0.31,0.21,0.86,0.0,0.35,0.18,0.3,0.0,0.44,0.0,0.0,0.47,0.84,0.0
26,0.76,0.3,1.66,0.34,0.14,0.87,0.0,0.33,0.21,0.28,0.0,0.4,0.0,0.0,0.52,0.89,0.0
27,0.79,0.31,1.58,0.43,0.09,0.86,0.0,0.28,0.22,0.28,0.0,0.38,0.0,0.0,0.6,0.88,0.0
