, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.21,0.0,0.05,0.0,0.0,0.49,0.0,0.0,0.0,0.03,0.0,0.28,0.0,0.0,0.0,0.0,0.0
12,0.47,0.0,0.15,0.0,0.0,0.98,0.0,0.01,0.0,0.11,0.0,0.54,0.0,0.0,0.0,0.0,0.0
13,0.7,0.0,0.24,0.0,0.0,1.49,0.0,0.04,0.0,0.14,0.0,0.77,0.0,0.0,0.0,0.0,0.0
14,0.6,0.0,0.26,0.0,0.0,1.53,0.0,0.08,0.0,0.11,0.0,0.72,0.0,0.0,0.0,0.0,0.0
15,0.5,0.0,0.3,0.0,0.0,1.56,0.0,0.08,0.04,0.05,0.0,0.64,0.0,0.0,0.0,0.0,0.0
16,0.42,0.0,0.34,0.0,0.0,1.6,0.0,0.09,0.08,0.03,0.0,0.58,0.0,0.0,0.0,0.0,0.0
17,0.51,0.0,0.37,0.0,0.0,1.65,0.0,0.09,0.08,0.03,0.0,0.54,0.0,0.0,0.0,0.0,0.0
18,0.56,0.0,0.37,0.0,0.0,1.72,0.0,0.11,0.04,0.01,0.0,0.53,0.0,0.0,0.0,0.0,0.0
19,0.64,0.0,0.35,0.0,0.0,1.23,0.0,0.09,0.02,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.06
20,0.7,0.0,0.33,0.0,0.0,0.73,0.0,0.05,0.04,0.09,0.0,0.43,0.0,0.0,0.0,0.0,0.14
21,0.65,0.0,0.2,0.0,0.0,0.16,0.0,0.02,0.04,0.14,0.0,0.4,0.0,0.0,0.0,0.0,0.24
22,0.57,0.0,0.22,0.0,0.0,0.33,0.0,0.01,0.03,0.16,0.0,0.42,0.0,0.0,0.0,0.0,0.28
23,0.46,0.0,0.22,0.0,0.0,0.63,0.0,0.05,0.01,0.18,0.0,0.49,0.0,0.0,0.0,0.0,0.24
24,0.46,0.0,0.32,0.0,0.0,1.05,0.0,0.05,0.01,0.2,0.0,0.57,0.0,0.0,0.0,0.0,0.17
25,0.47,0.0,0.32,0.0,0.0,1.23,0.0,0.06,0.0,0.22,0.0,0.66,0.0,0.0,0.0,0.0,0.07
26,0.51,0.0,0.35,0.0,0.0,1.36,0.0,0.04,0.0,0.22,0.0,0.74,0.0,0.0,0.0,0.0,0.03
27,0.52,0.0,0.32,0.0,0.0,1.42,0.0,0.07,0.03,0.2,0.0,0.75,0.0,0.0,0.0,0.0,0.0
