, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.2,0.28,0.04,0.62,0.0,0.04,0.0,0.0,0.0,0.23,0.0,0.16,0.0,0.0,0.04
12,0.0,0.0,0.3,0.36,0.06,1.17,0.0,0.04,0.0,0.0,0.0,0.42,0.0,0.25,0.0,0.0,0.42
13,0.0,0.0,0.43,0.46,0.06,1.65,0.0,0.04,0.0,0.0,0.0,0.59,0.0,0.26,0.0,0.0,1.1
14,0.0,0.0,0.29,0.18,0.03,1.51,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.15,0.0,0.0,1.65
15,0.0,0.0,0.37,0.1,0.1,1.49,0.02,0.01,0.0,0.0,0.0,0.58,0.0,0.21,0.0,0.0,1.65
16,0.0,0.0,0.53,0.0,0.14,1.71,0.06,0.07,0.0,0.0,0.0,0.55,0.0,0.34,0.0,0.0,1.11
17,0.0,0.0,0.73,0.0,0.18,1.83,0.09,0.12,0.0,0.0,0.0,0.49,0.0,0.47,0.0,0.0,0.75
18,0.0,0.0,0.8,0.0,0.15,1.88,0.07,0.11,0.0,0.0,0.0,0.35,0.0,0.44,0.0,0.0,0.56
19,0.0,0.0,0.67,0.0,0.18,1.75,0.03,0.07,0.0,0.0,0.0,0.29,0.0,0.33,0.0,0.0,0.53
20,0.01,0.01,0.58,0.0,0.23,1.92,0.0,0.13,0.0,0.0,0.0,0.23,0.0,0.19,0.0,0.02,0.41
21,0.05,0.01,0.51,0.0,0.27,2.06,0.0,0.25,0.0,0.0,0.0,0.18,0.0,0.08,0.0,0.02,0.37
22,0.17,0.01,0.48,0.0,0.36,2.29,0.0,0.36,0.0,0.0,0.0,0.2,0.0,0.04,0.0,0.02,0.43
23,0.44,0.0,0.45,0.0,0.42,2.2,0.0,0.33,0.0,0.0,0.0,0.28,0.0,0.01,0.0,0.04,0.32
24,0.71,0.0,0.46,0.0,0.54,2.22,0.0,0.33,0.0,0.0,0.05,0.44,0.0,0.0,0.0,0.04,0.26
25,0.75,0.0,0.5,0.0,0.58,2.2,0.0,0.35,0.0,0.0,0.08,0.51,0.0,0.0,0.0,0.04,0.1
26,0.64,0.0,0.53,0.0,0.64,2.29,0.0,0.42,0.0,0.0,0.11,0.55,0.0,0.0,0.0,0.01,0.11
27,0.52,0.0,0.6,0.0,0.63,2.23,0.0,0.48,0.0,0.0,0.06,0.57,0.0,0.0,0.0,0.13,0.02
